nucleophile_eq,time,temp,lewis_acid_eq,lewis_acid,solvent,conversion,sn2,sn1
7,1,0,0.5,AlCl3,ACN,0.64,0.38,0.62
7,1,50,0.1,LiClO4,ACN,0.87,0.75,0.15
7,1,75,0.1,LiClO4,ACN,1.0,0.8,0.2
7,1,100,0.1,LiClO4,ACN,1.0,0.85,0.15
7,1,150,0.1,LiClO4,ACN,1.0,0.85,0.15
7,7,75,0.1,LiClO4,ACN,0.96,0.77,0.23
2,7,75,0.1,LiClO4,ACN,1.0,0.78,0.22
5,7,75,0.1,LiClO4,ACN,1.0,0.74,0.26
7,7,75,0.1,LiClO4,ACN,0.95,0.79,0.21
7,7,75,0.1,Al(OTf)3,ACN,1.0,0.77,0.23
7,7,75,0.1,CuCl2,ACN,1.0,0.79,0.21
7,7,75,0.1,Mg(OTf)2,ACN,1.0,0.71,0.29
7,7,75,0.1,CuF2,ACN,0.83,0.82,0.18
7,7,75,0.1,MgBr2,ACN,0.97,0.65,0.35
7,7,75,0.1,NiCl2,ACN,0.47,0.84,0.16
7,7,75,0.1,SnF4,ACN,0.85,0.81,0.19
2,7,75,0.1,Al(OEt)3,ACN,1.0,0.76,0.24
2,7,75,0.1,InCl3,ACN,1.0,0.75,0.25
2,7,75,0.1,ZnBr2,ACN,1.0,0.79,0.21
2,7,75,0.1,LiBr,ACN,1.0,0.81,0.19
2,7,75,0.1,Zn(OTf)2,ACN,1.0,0.72,0.28
2,7,75,0.1,BF3,ACN,0.82,0.84,0.16
2,7,75,0.1,LiBF4,ACN,0.86,0.77,0.23
2,3,75,0.1,LiBF4,ACN,0.42,0.82,0.18
2,3,100,0.1,Zn(OTf)2,ACN,0.7,0.62,0.38
2,7,100,0.1,InCl3,ACN,0.45,0.71,0.29
2,3,100,0.1,LiBF4,ACN,0.39,0.81,0.19
2,3,75,0.1,Zn(OTf)2,ACN,0.41,0.68,0.32
2,7,50,0.1,Al(OTf)3,ACN,0.55,0.78,0.22
2,3,50,0.1,LiOTf,ACN,0.79,0.77,0.23
2,3,75,0.1,LiOTf,ACN,0.78,0.8,0.2
2,3,50,0.1,Zn(OTf)2,ACN,0.38,0.74,0.26
2,7,100,0.1,ZnBr2,ACN,0.57,0.73,0.27
